,ZCTA,percent_pos,median_inc,perc_minority,perc_majority,majority,perc_blue,perc_white,white_collar,log_percent_pos,best_fit_lin,best_fit_log,perc_wfh,perc_non_ess,perc_ess
0,10001,0.013479323,71244.61,0.349729882,0.650270118,1,0.52,0.48,0,-4.3065983973111,0.017658350062026207,-4.155248136869707,0.434,0.28300000000000003,0.28300000000000003
1,10002,0.011601083,30843.9574,0.6866969650000001,0.3133030349999999,0,0.6699999999999999,0.33000000000000007,0,-4.456656823158819,0.022862708624901806,-3.7839535366019743,0.22200000000000003,0.20700000000000002,0.5710000000000001
2,10003,0.0072418709999999996,89998.5339,0.236148794,0.763851206,1,0.503,0.497,0,-4.927875680556243,0.015242494422197203,-4.327602547746277,0.371,0.24500000000000002,0.386
3,10004,0.008916776999999999,110183.6857,0.29847847199999994,0.701521528,1,0.279,0.721,1,-4.7198207205530105,0.012642269899752883,-4.5131103894915,0.6060000000000001,0.10900000000000001,0.28400000000000003
4,10005,0.006114823,115133.2855,0.29908899800000005,0.700911002,1,0.32200000000000006,0.6779999999999999,1,-5.097039455478603,0.01200466900857477,-4.558598755667699,0.609,0.11499999999999999,0.275
5,10006,0.006079907,111220.0,0.30654267700000004,0.693457323,1,0.33299999999999996,0.667,1,-5.1027658791736785,0.012508773264081324,-4.522634441183928,0.536,0.22400000000000003,0.241
6,10007,0.006977075,145458.7823,0.244275902,0.755724098,1,0.242,0.758,1,-4.965125504476966,0.008098178672709833,-4.837299531215974,0.4870000000000001,0.15500000000000003,0.359
7,10009,0.010479068000000001,56615.2777,0.379317653,0.620682347,1,0.688,0.31200000000000006,0,-4.558375535341573,0.019542881274392257,-4.020800009452271,0.199,0.259,0.542
8,10010,0.006967091999999999,93702.0061,0.262015455,0.737984545,1,0.31000000000000005,0.69,1,-4.9665573579115385,0.014765418038128057,-4.36163861255236,0.623,0.14100000000000001,0.23700000000000002
9,10011,0.009113964,92359.4888,0.19735603399999999,0.802643966,1,0.40700000000000003,0.593,1,-4.697947536115331,0.014938359338736246,-4.349300459770739,0.5,0.221,0.28
10,10012,0.006065525,81316.7066,0.244375259,0.755624741,1,0.534,0.46599999999999997,0,-5.105134178090044,0.01636087591710806,-4.2478138465868565,0.406,0.31300000000000006,0.28099999999999997
11,10013,0.007558605,69836.0955,0.443790613,0.556209387,1,0.35800000000000004,0.6419999999999999,1,-4.885068629626832,0.017839793034534267,-4.142303449232438,0.23100000000000004,0.162,0.605
12,10014,0.008621251,98449.9155,0.12093620000000001,0.8790638,1,0.502,0.498,0,-4.753525077226319,0.014153798637167005,-4.405273381035789,0.382,0.203,0.41600000000000004
13,10016,0.011829916000000001,96760.4462,0.25221933100000005,0.747780669,1,0.468,0.532,1,-4.437123701608767,0.01437143383492543,-4.389746631143434,0.44899999999999995,0.2,0.35000000000000003
14,10017,0.007910892,102523.5025,0.24567118999999998,0.7543288100000001,1,0.332,0.6679999999999999,1,-4.839514734913199,0.013629044554727536,-4.442710916310178,0.612,0.221,0.16600000000000004
15,10018,0.019923609,84799.0772,0.43029259900000005,0.569707401,1,0.5770000000000001,0.42299999999999993,0,-3.9158498685370433,0.015912281548332532,-4.279817918716897,0.34299999999999997,0.316,0.341
16,10019,0.011898497,84786.4665,0.306927922,0.6930720779999999,1,0.316,0.6839999999999999,1,-4.431343189362497,0.01591390604200541,-4.279702022450023,0.594,0.17,0.23600000000000002
